user_id,name,review_count,ga_first_name,ga_gender,ga_accuracy,ga_samples
f4_MRNHvN-yRn7EA8YWRxg,Jennifer,822,Jennifer,female,98,88317
q-v8elVPvKz0KvK69QSj1Q,"Lisa Marie",666,"Lisa Marie",female,99,387
dIIKEfOgo0KqUfGQvGikPg,Gabi,2061,Gabi,female,68,11084
q_QQ5kBBwlCcbL1s4NVK3g,Jane,1218,Jane,female,97,30423
JnPIjvC0cmooNDfsa9BmXg,Kat,988,Kat,female,95,7587
mAhty2OHDTtLm00quB5Xjw,Jon,883,Jon,male,99,32478
fcNU65OaCj7slBJ60VSQgw,Steven,1204,Steven,male,99,59951
kxj7TPtJY2zbEjGV0PYfAA,Jenna,1399,Jenna,female,98,7867
4mjnkd8oJVCfBKN3i4rB-g,Tricia,1247,Tricia,female,98,3644
60RKNAZwY5EUooJf624aKw,Sarah,885,Sarah,female,98,127402
ox0DtIS-AzUiVeGFkIvlMQ,Jamie,938,Jamie,male,62,29424
fgwI3rYHOv1ipfVfCSx7pg,Emi,1847,Emi,female,73,5328
_m3SyztWE_ji0wLxsL2Ycg,Christy,799,Christy,female,93,7164
opPpHVIp8SKHMJg3_y5Lew,Mike,1462,Mike,male,99,116286
3z7E1Gg001_1YdZZYDnO2A,Laura,660,Laura,female,98,163073
8ZryN_S-n48g6rsa3W3QtQ,Dani,2474,Dani,male,81,44534
13f_vtUZEmlzweL91bmVng,Michelle,1002,Michelle,female,97,66957
QKbq76KuUHLRZjWXDtbwWQ,Jess,793,Jess,female,83,12831
HAv257_IVJnQT0ZIL8Nn-Q,Greg,699,Greg,male,99,38516
d6fQOiuzx4gymcCr3mHarQ,Vince,846,Vince,male,98,9448
930YU51ZvuOQn4dWtZxj5A,Jen,722,Jen,female,92,12060
36Vr9BASkR2v9NKNoZtiSA,Ming-Jou,898,Ming-Jou,male,77,3189
6AnWkbMbuYJ8BLupWTojrQ,Jade,816,Jade,female,90,12071
QWxW_pApmpY9iPApC8P-UQ,Kelvin,1241,Kelvin,male,99,14406
ENgL9AxV7uu-v5EUCpF69Q,Tammy,1070,Tammy,female,96,11055
zK4R5IFl5aBqePPEd0fvxw,McKenzie,1016,Mckenzie,female,98,6653
F_WfNGoYHAHDQy2abIYoNg,Cynthia,726,Cynthia,female,98,24359
Dj77pkw_EZJvR-F4RIf_BQ,Jen,1618,Jen,female,92,12060
RaSq7WPbxH7Dm5yfVBAgYw,Stephanie,625,Stephanie,female,98,66153
-B-QEUESGWHPE_889WJaeg,Mark,943,Mark,male,100,48064
fjEukWsKu9k8E0gJuRwf7w,Minerva,1390,Minerva,female,96,1360
2oNfIz8SOcUIclduAKXlwA,Glenn,1488,Glenn,male,98,9914
48vRThjhuhiSQINQ2KV8Sw,Susan,712,Susan,female,98,34211
wV4uhvJGok8nOR56Ex5mAg,Grace,978,Grace,female,100,25751
CQUDh80m48xnzUkx-X5NAw,David,4181,David,male,99,381770
C6uxJzwfCS-EsGACRocTBg,Andrew,957,Andrew,male,99,82448
x6erNzhuM_c7xW6PlqClIQ,Zoe,742,Zoe,female,95,9419
QJI9OSEn6ujRCtrX06vs1w,J,1981,,,,
qIECCqeEZQXre0mYvZU_pA,Lee,638,Lee,male,82,37625
yh8_9Ix1wp9dekvyOZbilQ,Christina,2091,Christina,female,94,36391
UVxY0iyPaqY7s4BSFtt-xA,Wanugee,1950,,,,
YttDgOC9AlM4HcAlDsbB2A,Phil,3379,Phil,male,98,25391
T5KBc5QbwZ-Oj9ApE4vZJA,Lisa,1058,Lisa,female,98,75562
LhFzr2vZDEc2KNHxuiHtIw,Cat,1639,Cat,female,87,5673
vQAM8ZNOl9mzScxdwSd1DA,Brent,1245,Brent,male,100,7215
ZbOK_2m4kifew3lzTep1yQ,Jaime,1071,Jaime,male,90,24921
x2kIaq8x6Q2I6uJxmVg4cA,Marthie,709,Marthie,female,96,50
MAatw6IQHYCqeATbHHMz1w,Melanio,859,Melanio,male,100,44
rGyxhmfO0lvOHswUndr0xQ,Steve,1096,Steve,male,99,80009
G5LXEaxhQMF_BVjNHkVr7g,Nish,1905,Nish,male,71,423
eKUGKQRE-Ywi5dY55_zChg,Cherylynn,2430,Cherylynn,female,100,11
ROK-C4ibaLa6N4ohD4LFfw,Leslie,700,Leslie,female,81,14894
fwSsSQXLvip6MkayAa_vyQ,Kathleen,1151,Kathleen,female,99,10967
eTvp_hYnsrI5-ow_sQ31_g,Patt,1010,Patt,female,57,572
_H1VvAk65d2z-2-XuLHkmw,Jackie,1462,Jackie,female,84,15948
IhmBr-yHC8xLjdnoq7O37w,Amuse,2066,Amuse,male,61,18
Kj9cFO70zZOQorN0mgeLWA,Faiza,950,Faiza,female,97,2617
QxirJzUqvYJ7l0pMQu4vXw,Sarah,1044,Sarah,female,98,127402
xJafm7vGSkUI5ocgYkCWkA,Lauryn,718,Lauryn,female,100,4191
EVaW-GGDEbYrYhgGUmO0DQ,Karen,1198,Karen,female,96,51469
lBIfa3INjAj_z2_amlnq3w,Diane,1157,Diane,female,98,17672
gzE5dfmxNYj5y0fIJBVblQ,Conrad,787,Conrad,male,99,5123
p3heVCnq3M0H2LMxIuuc5g,Andreas,1160,Andreas,male,99,44818
nsawcqioX0NDmqsDsM8L4w,Po,626,Po,male,69,823
oW2bCSJ5bIHyRnoZvkHwDg,"Uncle Fishbits Aeneas",1665,Aeneas,male,98,45
8k3aO-mPeyhbR5HUucA5aA,Victor,14455,Victor,male,99,78043
iJMDvVg6Mgl43is4XxIKsA,Victoria,698,Victoria,female,98,33384
vdMJFmbbDe0nDQr9-CjiGw,Robert,941,Robert,male,99,145540
j7Ew20Kh33lFEaUXW1rGNw,David,1472,David,male,99,381770
6s-g2vFu12OemhiK3FJuOQ,Dave,2368,Dave,male,99,53006
PkNs-Rw6MHQfu6j5pBZMMw,Maria,2978,Maria,female,97,245074
UG4EKu13JRwzRix6ESINdg,Edward,1138,Edward,male,99,24073
Jk-2JlKDKaZK2e5HV6Wx8g,Lily,875,Lily,female,97,14077
tXhscxwFTd-ayLTdPx_2yA,Jonah,1637,Jonah,male,96,4656
CY9iLsE2z_yLhLqJdD1WGw,Anthony,1416,Anthony,male,99,85303
VHdY6oG2JPVNjihWhOooAQ,Jessica,1979,Jessica,female,98,115595
4TJF62R5ytolOmiMWKtjGA,Briget,1009,Briget,female,95,58
8rzqG5NLuDlnqE49USzvTw,Keven,1599,Keven,male,99,2151
ibvH1Y7Rh_tstiWgH0OFTA,Veronica,1477,Veronica,female,98,38911
ET8n-r7glWYqZhuR6GcdNw,Michelle,2112,Michelle,female,97,66957
FC1ZSB9fd4WlDMSAbEjq8Q,Stephanie,1691,Stephanie,female,98,66153
ayN7C_U3AwBfWN7I3YVA_A,Yuki,1286,Yuki,female,62,3972
hVXJ8ag9djpzQqvd6jvNTw,Vanessa,990,Vanessa,female,98,78451
H74c_2LheXJmtEJd2EV6WQ,Kathy,1301,Kathy,female,98,17692
PVVIVG2HJHXWTkgR9fTfIQ,John,654,John,male,99,219085
cBIkLz-J_qyKAtFCZy9dUw,Annie,626,Annie,female,98,24785
IU86PZPgTDCFwJEuAg2j7g,Danny,2138,Danny,male,94,41156
L0hIDvoJUMNHSK_vEWGiFA,Richard,1133,Richard,male,99,97659
WSvMUpT3z8iy49FfMv80tA,Sean,1067,Sean,male,99,37072
hWDybu_KvYLSdEFzGrniTw,Bruce,12487,Bruce,male,99,14681
pDfL8xt8F8ls0-kQIG_ADg,Earl,1312,Earl,male,99,2405
KVJMmL0YhWwZRUhhMNkpjA,Darlene,1280,Darlene,female,98,3259
RndtjBHm41mIisU-oGeV1A,Annie,850,Annie,female,98,24785
UVVn8JcvIZ5fX5tE6Ne4Tw,Devo,1019,Devo,male,84,110
j6Kv_wLQzZMWobLIyijX3A,John,815,John,male,99,219085
DoRCeCcJbrsM2BiAKj3trA,April,880,April,female,96,10987
qmXKvtJe83rMLXsvkRMlBQ,Amanda,739,Amanda,female,98,64384
YpGt3hdq5adPlEFn9fQ2Zw,Taric,837,Taric,male,100,30
Ry1O_KXZHGRI8g5zBR3IcQ,John,1520,John,male,99,219085
eL8VdX4tyDr5zHWSahbtuQ,Courtney,1524,Courtney,female,92,11331
ZIOCmdFaMIF56FR-nWr_2A,Randy,2922,Randy,male,98,14607
kwjfwrE4Qs6ZblePxNeQcQ,Temenah,1219,,,,
vc4mkEa6Ug5cQudS0EfytQ,Irene,1021,Irene,female,98,30206
O7ojHP59iSi32uhEDUR44A,Jasmine,696,Jasmine,female,98,13433
tGgTIueZy1JNTzQD9rkZLQ,Jenny,1190,Jenny,female,98,44374
IDVFG1pNSHIHoVuoLuZpcQ,Andy,1502,Andy,male,95,64001
XY3EtrJI1OLMtiSQVrRZug,Alexis,899,Alexis,male,77,31202
kjeX2RXvW7RhBbD2QLd5jA,Bao,903,Bao,male,77,1438
W5cwxNwGiZJd393PCDQEvA,George,628,George,male,99,63411
Lr-B-r-KF80yFy-2u336bw,Eugene,1921,Eugene,male,97,9688
cctZ5e0OLd1g0jNdRk5Buw,Jewel,793,Jewel,female,87,5232
mnc2mcLdiWK5l3aWZWLvfA,S-Goddess,707,Goddess,female,95,93
Wx7cbLDqYEL3_aVZwh82Ww,Sapna,1117,Sapna,female,98,1612
q9Tyln685OEpIWFUdTxoYg,Ellen,1121,Ellen,female,99,12944
5IX9FOesKrLRyz618xc6tw,Helen,1018,Helen,female,98,23138
FVbtQgcCmWmQ-D6IR5BfZg,Jessica,909,Jessica,female,98,115595
oOoJ1-FcGHfwmvjmQrJp3w,Jackie,756,Jackie,female,84,15948
AJcwRgdkHtu3kOrEKlXq8A,Sherwin,1221,Sherwin,male,96,766
ITa3vh5ERI90G_WP4SmGUQ,Peter,3079,Peter,male,99,146529
xN-xoLhTHUFfTS_BMGG0xg,Teej,667,Teej,male,82,28
eigZw_Tn4TWJPSZ9UO9Auw,Danielle,776,Danielle,female,96,32183
Cg189N5utFD_4VxXImPZjg,Tom,699,Tom,male,99,87429
YAUMYdqhuLuHfQ7Y7qzkMw,Steven,953,Steven,male,99,59951
Hi10sGSZNxQH3NLyWSZ1oA,Fox,11112,Fox,male,90,2529
x0KsUGST3w8fzYyQQ81FAw,Christine,804,Christine,female,98,55857
