,Split,Lam_fair,Type,Accuracy,Unfairness,Ploss,Relaxation
0,0,0.0,Train,0.8320466876029968,0.17636530101299286,0.3547903597354889,1.4530123472213745
1,0,0.0,Test,0.8298171758651733,0.17494702339172363,0.3666660189628601,1.4924986362457275
2,1,0.0,Train,0.831700325012207,0.17916014790534973,0.3571417033672333,1.4555681943893433
3,1,0.0,Test,0.829013466835022,0.17214462161064148,0.3612978458404541,1.4084177017211914
4,2,0.0,Train,0.8301168084144592,0.18030370771884918,0.358504056930542,1.4210762977600098
5,2,0.0,Test,0.8345388770103455,0.18329739570617676,0.35884150862693787,1.4925843477249146
6,3,0.0,Train,0.8307105898857117,0.17865458130836487,0.35887250304222107,1.420745611190796
7,3,0.0,Test,0.831826388835907,0.185438871383667,0.35812002420425415,1.408609390258789
8,4,0.0,Train,0.8334323167800903,0.17311576008796692,0.35798174142837524,1.4000190496444702
9,4,0.0,Test,0.8284106850624084,0.18603873252868652,0.35984158515930176,1.438220500946045
10,0,0.02,Train,0.8316013216972351,0.13846364617347717,0.359699010848999,0.9119752049446106
11,0,0.02,Test,0.8281093239784241,0.1379038691520691,0.37110471725463867,0.9578788876533508
12,1,0.02,Train,0.8311064839363098,0.14250817894935608,0.3620239198207855,0.9406154751777649
13,1,0.02,Test,0.8288125395774841,0.13183444738388062,0.3657546043395996,0.9046021699905396
14,2,0.02,Train,0.8294239640235901,0.14179959893226624,0.36332252621650696,0.9144741296768188
15,2,0.02,Test,0.8341370224952698,0.14682434499263763,0.36299601197242737,0.9715179800987244
16,3,0.02,Train,0.8285332322120667,0.1391606479883194,0.36369481682777405,0.9135903716087341
17,3,0.02,Test,0.8313241004943848,0.13998724520206451,0.36361971497535706,0.9115185141563416
18,4,0.02,Train,0.8318488001823425,0.13591890037059784,0.3627956807613373,0.8932198882102966
19,4,0.02,Test,0.8270041942596436,0.1504124104976654,0.36568212509155273,0.9299722909927368
20,0,0.04,Train,0.8283352851867676,0.09632207453250885,0.37199312448501587,0.49354833364486694
21,0,0.04,Test,0.8257986903190613,0.09711334109306335,0.3833584785461426,0.5619953870773315
22,1,0.04,Train,0.828285813331604,0.10052382200956345,0.3741496503353119,0.5338638424873352
23,1,0.04,Test,0.8265019059181213,0.09060530364513397,0.37757423520088196,0.5017748475074768
24,2,0.04,Train,0.826108455657959,0.09984972327947617,0.3752889931201935,0.5132306814193726
25,2,0.04,Test,0.8288125395774841,0.10702768713235855,0.37462764978408813,0.5622658729553223
26,3,0.04,Train,0.8267022967338562,0.10154285281896591,0.37579840421676636,0.5071296691894531
27,3,0.04,Test,0.8281093239784241,0.09993363171815872,0.37632787227630615,0.5110161900520325
28,4,0.04,Train,0.8288301825523376,0.09546749293804169,0.3750002384185791,0.48431044816970825
29,4,0.04,Test,0.8252963423728943,0.11292226612567902,0.37901175022125244,0.5220414996147156
30,0,0.06,Train,0.8228919506072998,0.05516307055950165,0.39308372139930725,0.06825479865074158
31,0,0.06,Test,0.8204742074012756,0.05637913942337036,0.4046396017074585,0.16844162344932556
32,1,0.06,Train,0.8225950002670288,0.05977509915828705,0.39359334111213684,0.14533789455890656
33,1,0.06,Test,0.8202732801437378,0.05100703239440918,0.3966657817363739,0.11441007256507874
34,2,0.06,Train,0.8217042684555054,0.058699995279312134,0.3945063054561615,0.1292422115802765
35,2,0.06,Test,0.8234880566596985,0.06948515772819519,0.39345893263816833,0.1719585806131363
36,3,0.06,Train,0.8209620118141174,0.06213587522506714,0.3954571783542633,0.11350838094949722
37,3,0.06,Test,0.8225839138031006,0.05639307200908661,0.3965948820114136,0.12263070046901703
38,4,0.06,Train,0.8238321542739868,0.059068381786346436,0.3968656063079834,0.05138029158115387
39,4,0.06,Test,0.819570004940033,0.06942884624004364,0.40282630920410156,0.0889652892947197
40,0,0.08,Train,0.815419614315033,0.014880910515785217,1.8353017568588257,-21.9127254486084
41,0,0.08,Test,0.8114326000213623,0.018134355545043945,1.8174723386764526,-20.242942810058594
42,1,0.08,Train,0.8149742484092712,0.02073734998703003,0.5754011869430542,-2.3536107540130615
43,1,0.08,Test,0.814647376537323,0.013152211904525757,0.5443084836006165,-2.5407137870788574
44,2,0.08,Train,0.8160134553909302,0.02212558686733246,0.5836284756660461,-2.47910475730896
45,2,0.08,Test,0.8151496648788452,0.02456146478652954,0.5463286638259888,-2.567249059677124
46,3,0.08,Train,0.8141329884529114,0.025628596544265747,0.5873793363571167,-2.5222785472869873
47,3,0.08,Test,0.8154510855674744,0.014344140887260437,0.5401293039321899,-2.4684197902679443
48,4,0.08,Train,0.8154691457748413,0.018146544694900513,1.1723835468292236,-12.253921508789062
49,4,0.08,Test,0.8139441609382629,0.027439922094345093,1.3393864631652832,-12.657225608825684
50,0,0.1,Train,0.807106077671051,-0.02138480544090271,3.8881804943084717,-52.951812744140625
51,0,0.1,Test,0.8016877770423889,-0.017388716340065002,3.826038360595703,-48.75452423095703
52,1,0.1,Train,0.8066112399101257,-0.017099082469940186,1.3936474323272705,-12.656153678894043
53,1,0.1,Test,0.8049025535583496,-0.024168670177459717,1.2795078754425049,-13.233500480651855
54,2,0.1,Train,0.8073040246963501,-0.013293400406837463,1.1320706605911255,-9.865644454956055
55,2,0.1,Test,0.805203914642334,-0.012825563549995422,0.9827318787574768,-10.357247352600098
56,3,0.1,Train,0.804928719997406,-0.017144158482551575,1.5805598497390747,-15.116969108581543
57,3,0.1,Test,0.8076150417327881,-0.021718829870224,1.5389443635940552,-15.151634216308594
58,4,0.1,Train,0.8072545528411865,-0.020545542240142822,2.310628890991211,-29.02276611328125
59,4,0.1,Test,0.803596556186676,-0.0074729323387146,2.6901986598968506,-30.037822723388672
60,0,0.12,Train,0.7941904067993164,-0.06698751449584961,8.876296043395996,-112.49961853027344
61,0,0.12,Test,0.7840064167976379,-0.0682760626077652,8.01036262512207,-103.40470123291016
62,1,0.12,Train,0.7909243702888489,-0.06607304513454437,2.6836256980895996,-27.977712631225586
63,1,0.12,Test,0.789230465888977,-0.0710822194814682,2.535539150238037,-28.77957534790039
64,2,0.12,Train,0.793299674987793,-0.06183670461177826,2.325017213821411,-23.439476013183594
65,2,0.12,Test,0.7903355360031128,-0.06559748947620392,1.9881552457809448,-24.762542724609375
66,3,0.12,Train,0.7907264232635498,-0.06511969864368439,2.817319393157959,-30.38338851928711
67,3,0.12,Test,0.7922443151473999,-0.06682595610618591,2.871446132659912,-30.6834716796875
68,4,0.12,Train,0.792359471321106,-0.066478431224823,4.697007179260254,-58.5811882019043
69,4,0.12,Test,0.7904360294342041,-0.054481059312820435,5.365270614624023,-61.219810485839844
70,0,0.14,Train,0.7756333947181702,-0.12121014297008514,14.477428436279297,-177.69082641601562
71,0,0.14,Test,0.7630098462104797,-0.12657536566257477,12.696935653686523,-162.9114990234375
72,1,0.14,Train,0.7708333134651184,-0.1252351701259613,4.022863864898682,-43.621734619140625
73,1,0.14,Test,0.7688366770744324,-0.132782444357872,3.8432202339172363,-44.648475646972656
74,2,0.14,Train,0.7734560370445251,-0.12042990326881409,3.715355634689331,-38.72795867919922
75,2,0.14,Test,0.7699417471885681,-0.1278780698776245,3.1720528602600098,-40.9390869140625
76,3,0.14,Train,0.7740498781204224,-0.11665058135986328,4.130854606628418,-46.179840087890625
77,3,0.14,Test,0.7734578847885132,-0.12905149161815643,4.286381244659424,-46.74785614013672
78,4,0.14,Train,0.7743963003158569,-0.12669898569583893,7.129510879516602,-88.42485809326172
79,4,0.14,Test,0.7714486718177795,-0.1094338446855545,8.085726737976074,-92.66456604003906
80,0,0.16,Train,0.7532660365104675,-0.18967878818511963,45.505760192871094,-419.96710205078125
81,0,0.16,Test,0.737392008304596,-0.19863611459732056,43.527137756347656,-392.5686950683594
82,1,0.16,Train,0.7488123774528503,-0.1908966302871704,9.944709777832031,-90.435791015625
83,1,0.16,Test,0.7461321949958801,-0.19885949790477753,10.029718399047852,-93.33480834960938
84,2,0.16,Train,0.7490102648735046,-0.18787027895450592,12.046663284301758,-101.68122100830078
