,Split,Lam_fair,Type,Accuracy,Unfairness,Ploss,Relaxation,min_unfairness_vals
39,0,1.9000000000000001,Test,0.3889999985694885,0.20363837480545044,0.7419518828392029,0.6044255495071411,0.013212904334068298
37,0,1.8,Test,0.38999998569488525,0.21260076761245728,0.7389453649520874,0.6056625247001648,0.013212904334068298
35,0,1.7000000000000002,Test,0.3970000147819519,0.21861550211906433,0.7357315421104431,0.6070437431335449,0.013212904334068298
33,0,1.6,Test,0.4000000059604645,0.21690383553504944,0.7322874069213867,0.6085948944091797,0.013212904334068298
31,0,1.5,Test,0.40400001406669617,0.20543715357780457,0.7285867929458618,0.6103478670120239,0.013212904334068298
29,0,1.4000000000000001,Test,0.40799999237060547,0.19319453835487366,0.7246020436286926,0.6123419404029846,0.013212904334068298
27,0,1.3,Test,0.4099999964237213,0.18296551704406738,0.7202985882759094,0.6146278381347656,0.013212904334068298
25,0,1.2000000000000002,Test,0.41200000047683716,0.1947445124387741,0.7156371474266052,0.6172711253166199,0.013212904334068298
23,0,1.1,Test,0.42399999499320984,0.1888185441493988,0.7105724811553955,0.620357871055603,0.013212904334068298
21,0,1.0,Test,0.4429999887943268,0.15428215265274048,0.705051600933075,0.624003529548645,0.013212904334068298
19,0,0.9,Test,0.4860000014305115,0.07990602403879166,0.6990125179290771,0.6283663511276245,0.013212904334068298
17,0,0.8,Test,0.5440000295639038,0.013212904334068298,0.6923832893371582,0.6336699724197388,0.013212904334068298
15,0,0.7000000000000001,Test,0.5740000009536743,0.058860912919044495,0.6850816011428833,0.6402392983436584,0.058860912919044495
13,0,0.6000000000000001,Test,0.593999981880188,0.0908934473991394,0.6770150065422058,0.6485670208930969,0.0908934473991394
11,0,0.5,Test,0.6200000047683716,0.12626156210899353,0.6680892109870911,0.659434974193573,0.12626156210899353
9,0,0.4,Test,0.6370000243186951,0.1667947620153427,0.6582274436950684,0.6741674542427063,0.1667947620153427
7,0,0.30000000000000004,Test,0.652999997138977,0.1757403165102005,0.6474417448043823,0.6951897144317627,0.1757403165102005
5,0,0.2,Test,0.652999997138977,0.19795551896095276,0.63605797290802,0.7274655699729919,0.19795551896095276
1,0,0.0,Test,0.6620000004768372,0.20835353434085846,0.6226617097854614,0.8989309668540955,0.20043140649795532
3,0,0.1,Test,0.6679999828338623,0.20043140649795532,0.6255556344985962,0.7829254865646362,0.20043140649795532
